TEI Boilerplate,1,1,2,1,1
Tesseract,2,2,3,3,3
Tesserae,0,2,3,0,2
Textable,0,1,0,0,0
Textal,1,0,0,0,0
Textexture,0,0,1,0,0
TextGrid,5,7,2,0,5
TextRazor,0,1,0,0,0
Textual Communities,0,2,1,1,0
tFacet,1,0,0,0,0
TILE,2,0,1,0,0
TileMill,0,1,1,0,1
TRACER,0,3,2,1,1
Transana,0,1,0,0,0
Transkribus,0,1,2,1,8
TRAViz,1,1,0,0,0
Trello,0,0,1,0,0
Tropy,0,0,2,0,1
Tumblr,1,1,2,0,0
TUSTEP,0,1,0,0,0
Twitter,10,18,26,16,12
TXM,3,3,5,2,5
TypeWright,0,0,0,2,0
UIMA,0,1,1,0,0
VARD | VARD 2,1,2,0,1,0
Versioning Machine,1,1,0,1,0
VexFlow,0,1,0,0,0
Visual Browser,1,0,0,0,0
VisualEyes,1,0,0,0,0
VIVO,0,1,0,0,0
Voyant Tools,3,3,6,3,2
VSim,0,0,1,0,1
Wavesurfer,1,0,0,0,0
WebLicht,0,3,1,0,2
Weka,0,3,1,0,0
Wiki Map Project,1,0,0,0,0
WordCruncher,0,0,0,1,0
WordHoard,0,0,1,0,0
Wordle,2,0,0,0,2
WordPress,3,4,4,4,5
WordSmith,2,2,0,0,0
WorldCat,1,2,0,2,1
YAGO,0,1,0,0,0
Zenodo,0,0,0,4,3
Zotero,2,3,5,3,1
